source_id	source_path	destination	note
DM-467-error-concatenating-tensor-key-sr	debug-records.tsv	knowledge/repos/vllm-omni/rebase/upstream-api-drift.md §output-processor-scalar	
DM-454-chat_template_config_migration	debug-records.tsv	knowledge/repos/vllm-omni/rebase/upstream-api-drift.md §ctor-migrations	
DM-435-setup_server-reuse_port-kwarg	debug-records.tsv	knowledge/repos/vllm-omni/rebase/upstream-api-drift.md §ctor-migrations	
DM-408-online_renderer-to-openai_serving_render	debug-records.tsv	knowledge/repos/vllm-omni/rebase/upstream-api-drift.md §rename-migrations	
DM-410-online_renderer_openai_serving_render_re	debug-records.tsv	excluded	duplicates DM-408
DM-431-openai_serving_render_to_online_renderer	debug-records.tsv	excluded	duplicates DM-408
DM-443-cumem-cuda-double-free-gc-atexit	debug-records.tsv	excluded	duplicates SK-fix-cumem-cuda-double-free-gc-atexit
DM-444-entrypoint-h100-timeout-3600s-cumem-over	debug-records.tsv	excluded	duplicates SK-entrypoint-h100-timeout (variant)
DM-445-entrypoint-h100-timeout-bash-level-overr	debug-records.tsv	excluded	duplicates SK-entrypoint-h100-timeout (variant)
DM-458-entrypoint-h100-timeout-4200-insufficien	debug-records.tsv	excluded	duplicates SK-entrypoint-h100-timeout (variant)
DM-459-entrypoint-h100-timeout-phase3-env-overr	debug-records.tsv	excluded	duplicates SK-entrypoint-h100-timeout (variant)
DM-429-omni_async_gpu_model_runner_output_missi	debug-records.tsv	knowledge/repos/vllm-omni/rebase/upstream-api-drift.md §kwarg-additions	
DM-427-kv_connector_stats_ordering_fix_9ff278b1	debug-records.tsv	knowledge/repos/vllm-omni/rebase/upstream-api-drift.md §stats-ordering	
DM-442-watchdog-non-fatal-false-positive-kill	debug-records.tsv	excluded	agent-infra watchdog, covered by SK-fix-watchdog-non-fatal-false-positive note
DM-441-voxcpm2-test-talker-state-eviction-attri	debug-records.tsv	knowledge/repos/vllm-omni/rebase/upstream-api-drift.md §object-new-test-bypass	
DM-457-async_chunk_cosine_similarity_threshold	debug-records.tsv	knowledge/repos/vllm-omni/ci/guides/accuracy-attribution.md §threshold-tuning	
DM-447-test_abort_cuda_oom_gpu_contention	debug-records.tsv	knowledge/repos/vllm-omni/ci/guides/ci-environment-gotchas.md §gpu-contention	
DM-437-allocator_sleep_double_free_shutdown	debug-records.tsv	knowledge/repos/vllm-omni/rebase/upstream-api-drift.md §cumem-double-free (retired-history)	dedup SK-fix-cumem-allocator-sleep-double-free
DOC-mrv2-plan	vllm-omni-mrv2-rebase-plan.md	knowledge/repos/vllm-omni/rebase/upstream-api-drift.md §living-references	linked living reference, not copied
DOC-mrv2-commits	vllm-mrv2-commits-since-v0.20.0.md	knowledge/repos/vllm-omni/rebase/upstream-api-drift.md §living-references	linked living reference, not copied
CFG-waves	config-facts.txt	knowledge/repos/vllm-omni/rebase/workflow.md §module-waves	operational fact @AGENT_SHA
CFG-module-paths	config-facts.txt	knowledge/repos/vllm-omni/rebase/workflow.md §module-upstream-map	operational fact @AGENT_SHA
CFG-buildkite	config-facts.txt	knowledge/repos/vllm-omni/ci/guides/buildkite-structure.md §operational-facts	operational fact @AGENT_SHA
CFG-queue-map	config-facts.txt	knowledge/repos/vllm-omni/ci/guides/buildkite-structure.md §operational-facts	operational fact @AGENT_SHA
